Current Name,Suggested Canonical Name,Status,corrected_Name,Source
Aajameedha,Ajamidha,Review,Ajamidha,Column B
Aamahavya,Aamahavya,OK,Amahavya,Manual
Aamahiyava,Aamahiyava,OK,Amahiyava,Manual
Aarshtimshena,Arshtishena,Review,Arshtishena,Column B
Abharadvasu,Abharadvasu,OK,OK,OK
Agastya,Agastya,OK,OK,OK
Aghamarsana,Aghamarsana,OK,Aghamarshana,Manual
Aja,Aja,OK,OK,OK
Ajamidha,Ajamidha,OK,OK,OK
Ajigita,Ajigita,OK,Ajigarta,Manual
Ambarisha,Ambarisha,OK,OK,OK
Ammabhuva,Ammabhuva,OK,OK,OK
Angeras,Angirasa,Review,Angirasa,Column B
Angiras,Angirasa,Review,Angiras,Column A
Angirasa,Angirasa,OK,OK,OK
Anupa,Anupa,OK,OK,OK
Aotathya,Autathya,Review,Autathya,Column B
Aoujisha,Aoujisha,OK,Aushija,Manual
Aourukshaya,Aurukshaya,Review,Aurukshaya,Column B
Aoushnasa,Aoushnasa,OK,Aushanasa,Manual
Aoutathya,Autathya,Review,Autathya,Column B
Aouthya,Aouthya,OK,Autathya,Manual
Apnavana,Apnavana,OK,OK,OK
Archaanasa,Archananasa,Review,Archananasa,Column B
Archanaanas,Archananasa,Review,Archananasa,Column B
Archananasa,Archananasa,OK,OK,OK
Arshtishena,Arshtishena,OK,OK,OK
Ashtaadamshtra,Ashtaadamshtra,OK,OK,OK
Asita,Asita,OK,OK,OK
Astaka,Astaka,OK,Ashtaka,Manual
Atitha,Atitha,OK,OK,OK
Atmabhu,Atmabhu,OK,OK,OK
Atreya,Atreya,OK,OK,OK
Audala,Audala,OK,OK,OK
Aulita,Aulita,OK,OK,OK
Aurukshaya,Aurukshaya,OK,OK,OK
Aurushaya,Aurukshaya,Review,Aurukshaya,Column B
Aurva,Aurva,OK,OK,OK
Ausanasa,Ausanasa,OK,Aushanasa,Manual
Ausija,Ausija,OK,Aushija,Manual
Autathya,Autathya,OK,OK,OK
Avatsara,Avatsara,OK,OK,OK
Ayasya,Ayasya,OK,OK,OK
Baida,Baida,OK,OK,OK
Baija,Baija,OK,OK,OK
Barhadyukta,Brhadyuktha,Review,Brhadyuktha,Column B
Barhaspatya,Barhaspatya,OK,OK,OK
Bhaamyashwa,Bharmyashva,Review,Bharmyashva,Column B
Bharadwaja,Bharadwaja,OK,OK,OK
Bharawaaja,Bharadwaja,Review,Bharadwaja,Column B
Bhardwaja,Bharadwaja,Review,Bharadwaja,Column B
Bhargava,Bhargava,OK,OK,OK
Bharmyashva,Bharmyashva,OK,OK,OK
Brhadyuktha,Brhadyuktha,OK,OK,OK
Bruhudhyuta,Bruhudhyuta,OK,Brihadyumna,Manual
Chaitya,Chaitya,OK,OK,OK
Chyavana,Chyavana,OK,OK,OK
Daadharyachyuta,Daadharyachyuta,OK,OK,OK
Daivadasa,Daivadasa,OK,OK,OK
Daivatarasa,Daivatarasa,OK,OK,OK
Daivodaasa,Daivadasa,Review,Daivadasa,Column B
Darbhavaaha,Darbhavaaha,OK,OK,OK
Devala,Devala,OK,OK,OK
Devarata,Devarata,OK,OK,OK
Devasravasa,Devasravasa,OK,OK,OK
Dhananjaya,Dhananjaya,OK,OK,OK
Dirgha Tamasa,Dirghatamas,Review,Dirghatamas,Column B
Dirghatamas,Dirghatamas,OK,OK,OK
Drdhachyuta,Drdhachyuta,OK,OK,OK
Dridhacyuta,Drdhachyuta,Review,Drdhachyuta,Column B
Gaartsamada,Grtsamada,Review,Grtsamada,Column B
Garga,Garga,OK,OK,OK
Gargya,Gargya,OK,OK,OK
Gaurivita,Gaurivita,OK,Gauriviti,Manual
Gautama,Gautama,OK,OK,OK
Gavishthara,Gavishtira,Review,Gavishtira,Column B
Gavishtira,Gavishtira,OK,OK,OK
Ghora,Ghora,OK,OK,OK
Ghoura,Ghoura,OK,Ghora,Manual
Gouytama,Gouytama,OK,Gautama,Manual
Grtsamada,Grtsamada,OK,OK,OK
Haimavarchi,Haimavarchi,OK,OK,OK
Haimodaka,Himodaka,Review,Himodaka,Column B
Himodaka,Himodaka,OK,OK,OK
Idhmavaha,Idhmavaha,OK,OK,OK
Indra,Indra,OK,OK,OK
Indrapramada,Indrapramada,OK,OK,OK
Jamadagnya,Jamadagnya,OK,OK,OK
Jatukarnya,Jatukarnya,OK,OK,OK
Jyotisha,Jyotisha,OK,OK,OK
Kaakshivata,Kaakshivata,OK,Kakshivat,Manual
Kadhaka,Kadhaka,OK,OK,OK
Kanva,Kanva,OK,OK,OK
Karenupaalaya,Karenupaalaya,OK,OK,OK
Karenupala,Karenupala,OK,OK,OK
Kasyapa,Kasyapa,OK,Kashyapa,Manual
Katya,Katya,OK,OK,OK
Kaundinya,Kaundinya,OK,OK,OK
Kausika,Kausika,OK,Kaushika,Manual
Komanda,Komanda,OK,OK,OK
Koumanda,Komanda,Review,Komanda,Column B
Koutsa,Koutsa,OK,Kautsa,Manual
Kutsa,Kutsa,OK,OK,OK
Lohita,Lohita,OK,OK,OK
Maathara,Maathara,OK,OK,OK
Maayobhava,Mayobhuva,Review,Mayobhuva,Column B
Madhucchandasa,Madhuchhandasa,Review,Madhuchhandasa,Column B
Madhuchhandasa,Madhuchhandasa,OK,OK,OK
Mahendra,Mahendra,OK,OK,OK
Maitravaruna,Maitravaruna,OK,OK,OK
Mandhaatru,Mandhatr,Review,Mandhatr,Column B
Mandhatr,Mandhatr,OK,OK,OK
